Rank,TitleLen,AgeHours,Points,NumComments
1,78,2.0,382,127
2,47,2.0,97,15
3,53,0.68,31,5
4,48,4.0,192,72
5,67,7.0,421,111
6,54,0.52,14,0
7,74,5.0,113,26
8,69,3.0,61,5
9,38,1.0,26,4
10,59,8.0,213,90
11,58,6.0,140,63
12,79,4.0,59,14
13,54,8.0,204,92
14,70,12.0,353,92
15,48,2.0,37,24
16,57,9.0,179,231
17,26,2.0,36,7
18,60,3.0,26,4
19,41,4.0,52,7
20,22,4.0,64,12
21,58,10.0,172,11
22,27,3.0,23,13
23,55,7.0,69,123
24,70,4.0,124,90
25,45,10.0,136,49
26,55,7.0,78,12
27,15,9.0,482,197
28,50,5.0,120,123
29,61,6.0,189,96
30,39,8.0,392,407
31,44,5.0,28,4
32,56,10.0,103,36
33,37,2.0,10,4
34,51,10.0,85,37
35,69,5.0,149,27
36,18,6.0,132,123
37,35,3.0,35,21
38,68,5.0,153,50
39,53,6.0,222,99
40,39,7.0,157,91
41,62,9.0,58,6
42,59,5.0,211,558
43,53,4.0,11,0
44,52,7.0,20,0
45,36,11.0,51,8
46,66,24.0,1004,257
47,27,4.0,81,47
48,60,3.0,8,3
49,50,5.0,24,2
50,45,13.0,61,75
51,62,20.0,557,198
52,31,5.0,32,29
53,78,2.0,10,0
54,35,8.0,81,58
55,51,22.0,541,254
56,73,0.88,5,0
57,33,4.0,7,0
58,61,14.0,58,10
59,27,7.0,20,2
60,63,5.0,6,0
61,41,6.0,36,9
62,57,24.0,568,85
63,54,12.0,27,62
64,54,24.0,526,321
65,22,6.0,52,65
66,48,15.0,66,8
67,41,0.87,3,0
68,38,10.0,24,17
69,22,24.0,595,81
70,43,7.0,127,112
71,33,17.0,186,39
72,24,17.0,44,31
73,63,19.0,176,101
74,31,4.0,3,0
75,45,13.0,35,3
76,49,24.0,434,126
77,77,1.0,4,0
78,61,1.0,3,0
79,72,18.0,130,29
80,59,17.0,290,134
81,46,24.0,516,237
82,37,20.0,188,63
83,73,10.0,154,199
84,50,24.0,384,274
85,59,21.0,40,10
86,15,21.0,59,35
87,55,8.0,34,0
88,27,16.0,43,4
89,59,21.0,60,34
90,49,19.0,129,109
91,69,4.0,11,4
92,52,16.0,109,15
93,24,1.0,5,0
94,42,2.0,5,0
95,48,11.0,9,0
96,70,11.0,7,3
97,54,24.0,227,124
98,49,24.0,213,96
99,80,24.0,44,0
100,53,18.0,23,0
101,67,2.0,9,0
102,80,15.0,33,46
103,55,3.0,8,6
104,77,9.0,167,78
105,15,48.0,763,232
106,45,12.0,12,0
107,66,24.0,301,252
108,51,24.0,192,98
109,48,24.0,706,255
110,76,21.0,167,114
111,64,22.0,43,10
112,69,24.0,182,52
113,46,24.0,211,48
114,58,24.0,45,9
115,59,6.0,13,7
116,23,24.0,472,281
117,72,3.0,19,0
118,40,24.0,376,208
119,75,21.0,76,34
120,70,17.0,15,0
121,51,20.0,120,92
122,63,8.0,4,0
123,72,12.0,42,20
124,50,21.0,101,28
125,22,24.0,44,4
126,79,24.0,33,32
127,64,48.0,382,296
128,39,24.0,27,26
129,36,16.0,14,0
130,37,24.0,205,7
131,15,24.0,203,43
132,49,24.0,150,45
133,77,9.0,21,23
134,41,18.0,14,0
135,68,7.0,16,3
136,43,24.0,691,457
137,39,4.0,6,5
138,65,24.0,119,87
139,39,24.0,40,15
140,53,23.0,0,0
141,76,24.0,29,4
142,73,48.0,488,133
143,67,24.0,557,170
144,30,21.0,16,0
145,63,24.0,102,26
146,75,10.0,21,10
147,19,4.0,6,0
148,61,24.0,344,146
149,21,10.0,3,0
150,40,24.0,32,18
